Time (s)Time (s),Red,IR
1136.0611275.759,2816466,3092658
1136.1011275.805,2816490,3092629
1136.1451275.845,2816459,3092500
1136.1851275.885,2816551,3092491
1136.2251275.925,2816845,3092641
1136.2651275.965,2817196,3092797
1136.3051276.01,2817487,3092836
1136.351276.05,2817548,3092543
1136.391276.09,2817392,3092092
1136.431276.13,2817180,3091532
1136.471276.17,2817220,3091004
1136.511276.216,2817621,3090678
1136.551276.256,2818049,3090833
1136.591276.296,2818741,3091306
1136.631276.336,2819192,3091686
1136.671276.376,2819717,3092130
1136.711276.417,2820191,3092350
1136.7571276.457,2820586,3092434
1136.7971276.497,2820862,3092404
1136.8371276.537,2821183,3092534
1136.8771276.577,2821483,3092636
1136.9171276.62,2821719,3092760
1136.9571276.66,2821818,3092895
1136.9611276.7,2821870,3093008
1137.0011276.74,2821986,3093159
1137.0411276.78,2822117,3093333
1137.0811276.822,2822168,3093515
1137.1211276.862,2822054,3093502
1137.1621276.902,2821726,3093279
1137.2021276.942,2821298,3092939
1137.2421276.982,2820919,3092607
1137.2821277.025,2820560,3092317
1137.3221277.065,2820029,3092009
1137.3691277.105,2819578,3091830
1137.4091277.145,2819184,3091778
1137.4491277.185,2818935,3091742
1137.4891277.232,2818780,3091595
1137.5291277.272,2818689,3091521
1137.5761277.312,2818574,3091381
1137.6161277.352,2818358,3091255
1137.6561277.392,2818039,3090835
1137.6961277.434,2817526,3090230
1137.7361277.474,2816462,3088818
1137.7811277.514,2815281,3087042
1137.8211277.554,2813575,3083761
1137.8611277.594,2817721,3086207
1137.9011277.64,2816150,3084880
1137.9411277.68,2814297,3083745
1137.9881277.72,2813788,3083348
1138.0281277.76,2813786,3083427
1138.0681277.8,2813747,3083525
1138.1081277.844,2813494,3083249
1138.1481277.884,2813594,3083350
1138.1921277.924,2814060,3083986
1138.2321277.964,2815013,3085250
1138.2721278.004,2815743,3086010
1138.3121278.05,2816697,3085906
1138.3521278.09,2816959,3085977
1138.3921278.13,2817292,3086294
1138.3971278.17,2817808,3086890
1138.4371278.21,2818266,3087673
1138.4771278.252,2818570,3088258
1138.5171278.292,2818783,3088630
1138.5571278.332,2819050,3088972
1138.6041278.372,2819183,3089092
1138.6441278.412,2819081,3088861
1138.6841278.456,2818919,3088573
1138.7241278.496,2818857,3088335
1138.7641278.536,2818763,3088125
1138.811278.576,2818753,3088041
1138.851278.616,2818814,3088089
1138.891278.663,2818851,3088142
1138.931278.703,2818920,3088216
1138.971278.743,2819037,3088372
1139.0141278.783,2819384,3088910
1139.0541278.823,2819809,3089628
1139.0941278.867,2820044,3090061
1139.1341278.907,2820071,3090262
1139.1741278.947,2820135,3090433
1139.2221278.987,2820405,3090839
1139.2621279.027,2820693,3091286
1139.3021279.068,2820827,3091514
1139.3421279.108,2820865,3091639
1139.3821279.148,2820842,3091650
1139.4271279.188,2820864,3091688
1139.4671279.228,2820890,3091714
1139.5071279.273,2820872,3091721
1139.5471279.313,2820754,3091537
1139.5871279.353,2820545,3091024
1139.6271279.393,2820317,3090472
1139.6341279.433,2820144,3090054
1139.6741279.48,2820014,3089704
1139.7141279.52,2819925,3089538
1139.7541279.56,2819970,3089608
1139.7941279.6,2820203,3090024
1139.8411279.64,2820387,3090358
1139.8811279.68,2820453,3090529
1139.9211279.684,2820392,3090535
1139.9611279.724,2820258,3090451
1140.0011279.764,2820166,3090358
1140.0491279.804,2820137,3090316
1140.0891279.844,2820104,3090238
1140.1291279.889,2820089,3090210
1140.1691279.929,2820156,3090327
1140.2091279.969,2820331,3090610
1140.2551280.009,2820356,3090727
1140.2951280.049,2820231,3090628
1140.3351280.095,2819976,3090444
1140.3751280.135,2819715,3090249
1140.4151280.175,2819502,3090049
1140.4581280.215,2819312,3089755
1140.4981280.255,2819005,3089220
1140.5381280.299,2818624,3088559
1140.5781280.339,2818322,3087976
1140.6181280.379,2818034,3087531
1140.6641280.419,2817763,3087127
1140.7041280.459,2817574,3086816
1140.7441280.504,2817431,3086550
1140.7841280.544,2817372,3086287
1140.8241280.584,2817312,3085997
1140.8641280.624,2817233,3085779
1140.8681280.664,2817130,3085612
1140.9081280.707,2817047,3085527
1140.9481280.747,2816959,3085494
1140.9881280.787,2816990,3085439
1141.0281280.827,2817162,3085499
1141.071280.867,2817431,3085642
1141.111280.908,2817601,3085880
1141.151280.948,2817488,3086060
1141.191280.988,2817319,3086362
1141.231281.028,2817233,3086611
1141.2731281.068,2816955,3086445
1141.3131281.111,2814468,3083299
1141.3531281.151,2814845,3083302
1141.3931281.191,2815630,3084038
1141.4331281.231,2815727,3084041
1141.4781281.271,2815596,3083624
1141.5181281.317,2815463,3083208
1141.5581281.357,2815370,3082756
1141.5981281.397,2815175,3082089
1141.6381281.437,2815084,3081717
1141.6791281.477,2814963,3081455
1141.7191281.517,2814730,3080932
1141.7591281.521,2814423,2818027
1141.7991281.561,2814033,2817404
1141.8391281.601,2813808,2816939
1141.8861281.641,2813769,2816700
1141.9261281.681,2813585,2816355
1141.9661281.727,2813292,2815917
1142.0061281.767,2812939,2815357
1142.0461281.807,2812451,2814545
1142.0891281.847,2812347,2814261
1142.1291281.887,2812228,2814035
1142.1691281.931,2812014,2813688
1142.2091281.971,2811558,2812826
1142.2491282.011,2811352,2812266
1142.2941282.051,2811453,2812218
1142.3341282.091,2811772,2812662
1142.3741282.135,2811952,2812856
1142.4141282.175,2812168,2813111
1142.4541282.215,2812667,2814151
1142.4991282.255,2813310,2815559
1142.5391282.295,2813751,2816576
1142.5791282.341,2813926,2817050
1142.6191282.381,2814285,2817768
1142.6591282.421,2814681,2818593
1142.6991282.461,2814687,2818640
1142.71282.501,2814563,2818341
1142.741282.543,2814356,2817866
1142.781282.583,2814242,2817510
1142.821282.623,2814321,2817717
1142.861282.663,2814389,2817869
1142.9051282.703,2814386,2817798
1142.9451282.75,2814589,2818224
1142.9851282.79,2814776,2818666
1143.0251282.83,2814733,2818628
