Time (ms),Estimated HR (Hz),Estimated HR (bpm),Time to next peak (ms),Heart rate pulse interval (ms),Red LED ADC,IR LED ADC
10594,0.984945,59,885,1015,2.81686e+06,3.09833e+06
10634,0.984945,59,845,1015,2.81686e+06,3.09835e+06
10674,0.984945,59,805,1015,2.81684e+06,3.09836e+06
10718,0.984945,59,761,1015,2.81689e+06,3.09851e+06
10758,0.984945,59,721,1015,2.81696e+06,3.09865e+06
10798,0.976034,58,768,1024,2.81696e+06,3.09869e+06
10838,0.976034,58,728,1024,2.81696e+06,3.09872e+06
10878,0.976034,58,688,1024,2.81699e+06,3.09878e+06
10925,0.976034,58,641,1024,2.81701e+06,3.09883e+06
10965,0.976034,58,601,1024,2.81704e+06,3.09892e+06
11005,0.976034,58,561,1024,2.81705e+06,3.09897e+06
11045,0.976034,58,521,1024,2.81708e+06,3.09904e+06
11085,0.976034,58,481,1024,2.8171e+06,3.09909e+06
11129,0.976034,58,437,1024,2.81711e+06,3.09911e+06
11169,0.976034,58,397,1024,2.81709e+06,3.09913e+06
11209,0.976034,58,357,1024,2.8171e+06,3.09918e+06
11249,0.976034,58,317,1024,2.81713e+06,3.09925e+06
11289,0.976034,58,277,1024,2.81714e+06,3.09929e+06
11329,0.976034,58,237,1024,2.81712e+06,3.0993e+06
11332,0.976034,58,234,1024,2.81713e+06,3.09932e+06
11372,0.976034,58,194,1024,2.81713e+06,3.09936e+06
11412,0.976034,58,154,1024,2.81712e+06,3.09937e+06
11452,0.976034,58,114,1024,2.81707e+06,3.09923e+06
11492,0.976034,58,74,1024,2.81693e+06,3.09886e+06
11536,0.976034,58,30,1024,2.81682e+06,3.09855e+06
11576,0.976034,58,1014,1024,2.81678e+06,3.09847e+06
11616,0.976034,58,974,1024,2.81676e+06,3.09845e+06
11656,0.976034,58,934,1024,2.81678e+06,3.09848e+06
11696,0.985652,59,760,1014,2.81683e+06,3.09859e+06
11736,0.985652,59,720,1014,2.81685e+06,3.0987e+06
11776,0.985652,59,680,1014,2.81687e+06,3.09873e+06
11816,0.985652,59,640,1014,2.81687e+06,3.09876e+06
11856,0.985652,59,600,1014,2.81688e+06,3.09882e+06
11896,0.985652,59,560,1014,2.81692e+06,3.09888e+06
11937,0.985652,59,519,1014,2.81693e+06,3.09895e+06
11977,0.985652,59,479,1014,2.81697e+06,3.099e+06
12017,0.985652,59,439,1014,2.81697e+06,3.09905e+06
12057,0.985652,59,399,1014,2.81698e+06,3.0991e+06
12097,0.985652,59,359,1014,2.81699e+06,3.09912e+06
12143,0.985652,59,313,1014,2.81699e+06,3.09916e+06
12183,0.985652,59,273,1014,2.817e+06,3.0992e+06
12223,0.985652,59,233,1014,2.81702e+06,3.09923e+06
12263,0.985652,59,193,1014,2.81704e+06,3.09926e+06
12303,0.985652,59,153,1014,2.81704e+06,3.09927e+06
12343,0.985652,59,113,1014,2.81705e+06,3.09931e+06
12383,0.985652,59,73,1014,2.81705e+06,3.09936e+06
12423,0.985652,59,33,1014,2.81707e+06,3.09938e+06
12463,0.985652,59,1007,1014,2.81703e+06,3.09927e+06
12503,0.985652,59,967,1014,2.8169e+06,3.09888e+06
12548,0.985652,59,922,1014,2.8168e+06,3.09863e+06
12588,0.985652,59,882,1014,2.81679e+06,3.09859e+06
12628,0.985652,59,842,1014,2.81677e+06,3.09858e+06
12668,0.985652,59,802,1014,2.81678e+06,3.09858e+06
12708,0.985652,59,762,1014,2.81682e+06,3.09869e+06
12753,0.985652,59,717,1014,2.81687e+06,3.09883e+06
12793,0.985652,59,677,1014,2.81687e+06,3.09886e+06
12833,0.973777,58,769,1026,2.81686e+06,3.09887e+06
12873,0.973777,58,729,1026,2.81689e+06,3.09892e+06
12913,0.973777,58,689,1026,2.81692e+06,3.09902e+06
12954,0.973777,58,648,1026,2.81695e+06,3.09906e+06
12994,0.973777,58,608,1026,2.81694e+06,3.09911e+06
13034,0.973777,58,568,1026,2.81698e+06,3.09916e+06
13074,0.973777,58,528,1026,2.81699e+06,3.09921e+06
13114,0.973777,58,488,1026,2.81699e+06,3.09923e+06
13160,0.973777,58,442,1026,2.81698e+06,3.09925e+06
13200,0.973777,58,402,1026,2.817e+06,3.09928e+06
13240,0.973777,58,362,1026,2.81701e+06,3.09931e+06
13280,0.973777,58,322,1026,2.817e+06,3.09935e+06
13320,0.973777,58,282,1026,2.817e+06,3.09937e+06
13360,0.973777,58,242,1026,2.81701e+06,3.0994e+06
13366,0.973777,58,236,1026,2.81702e+06,3.09942e+06
13406,0.973777,58,196,1026,2.81702e+06,3.09941e+06
13446,0.973777,58,156,1026,2.81692e+06,3.09914e+06
13486,0.973777,58,116,1026,2.81676e+06,3.09872e+06
13526,0.973777,58,76,1026,2.81671e+06,3.09859e+06
13573,0.973777,58,29,1026,2.81669e+06,3.09858e+06
13613,0.973777,58,1015,1026,2.81668e+06,3.09854e+06
13653,0.973777,58,975,1026,2.81668e+06,3.09857e+06
13693,0.988297,59,758,1011,2.81672e+06,3.09868e+06
13733,0.988297,59,718,1011,2.81675e+06,3.09879e+06
13773,0.988297,59,678,1011,2.81675e+06,3.09881e+06
13813,0.988297,59,638,1011,2.81676e+06,3.09884e+06
